ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Year,Month
Airport ATM,2011-01-01,98.0,56.0,503400.0,347700.0,Saturday,C,H,WHH,2011,January
Big Street ATM,2011-01-01,50.0,20.0,123800.0,41700.0,Saturday,H,H,WHH,2011,January
Christ College ATM,2011-01-01,74.0,25.0,287700.0,148200.0,Saturday,C,H,WHH,2011,January
KK Nagar ATM,2011-01-01,265.0,159.0,945300.0,532600.0,Saturday,C,H,WHH,2011,January
Mount Road ATM,2011-01-01,253.0,67.0,767900.0,270900.0,Saturday,C,H,WHH,2011,January
Airport ATM,2011-01-02,105.0,78.0,578100.0,438700.0,Sunday,NH,W,WWW,2011,January
Big Street ATM,2011-01-02,36.0,17.0,161700.0,121300.0,Sunday,NH,W,WWW,2011,January
Christ College ATM,2011-01-02,97.0,31.0,432000.0,158400.0,Sunday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-02,221.0,183.0,958300.0,770900.0,Sunday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-02,164.0,106.0,631800.0,476600.0,Sunday,NH,W,WWW,2011,January
Airport ATM,2011-01-03,119.0,101.0,519100.0,465200.0,Monday,NH,W,WWW,2011,January
Big Street ATM,2011-01-03,29.0,14.0,105800.0,65400.0,Monday,NH,W,WWW,2011,January
Big Street ATM,2011-01-03,184.0,142.0,692070.0,546070.0,Monday,NA,NA,NA,2011,January
Christ College ATM,2011-01-03,92.0,39.0,479800.0,228700.0,Monday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-03,197.0,107.0,730000.0,505100.0,Monday,NH,W,WWW,2011,January
Airport ATM,2011-01-04,96.0,80.0,480700.0,425700.0,Tuesday,NH,W,WWH,2011,January
Big Street ATM,2011-01-04,43.0,20.0,134700.0,75900.0,Tuesday,NH,W,WWH,2011,January
Christ College ATM,2011-01-04,75.0,29.0,336600.0,195200.0,Tuesday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-04,184.0,157.0,557300.0,508000.0,Tuesday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-04,142.0,75.0,464800.0,325400.0,Tuesday,NH,W,WWH,2011,January
Airport ATM,2011-01-05,131.0,63.0,468900.0,306900.0,Wednesday,N,H,HHW,2011,January
Big Street ATM,2011-01-05,23.0,6.0,60200.0,19000.0,Wednesday,N,H,HHW,2011,January
Christ College ATM,2011-01-05,52.0,20.0,200300.0,79100.0,Wednesday,N,H,HHW,2011,January
KK Nagar ATM,2011-01-05,148.0,117.0,577100.0,482900.0,Wednesday,N,H,HHW,2011,January
Mount Road ATM,2011-01-05,159.0,50.0,636000.0,280600.0,Wednesday,N,H,HHW,2011,January
Airport ATM,2011-01-06,149.0,101.0,729400.0,533100.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-06,34.0,17.0,136500.0,81800.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-06,184.0,142.0,692070.0,546070.0,Thursday,NA,NA,NA,2011,January
Christ College ATM,2011-01-06,78.0,40.0,261600.0,93700.0,Thursday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-06,213.0,90.0,831200.0,463600.0,Thursday,NH,W,WWW,2011,January
Airport ATM,2011-01-07,115.0,93.0,500200.0,420800.0,Friday,NH,W,WWH,2011,January
Big Street ATM,2011-01-07,38.0,19.0,158800.0,85500.0,Friday,NH,W,WWH,2011,January
Christ College ATM,2011-01-07,88.0,47.0,403200.0,182300.0,Friday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-07,201.0,165.0,794200.0,696300.0,Friday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-07,166.0,73.0,605000.0,288000.0,Friday,NH,W,WWH,2011,January
Airport ATM,2011-01-08,124.0,90.0,657800.0,544100.0,Saturday,NH,W,HWW,2011,January
Big Street ATM,2011-01-08,57.0,21.0,292700.0,125800.0,Saturday,NH,W,HWW,2011,January
Big Street ATM,2011-01-08,150.0,69.0,480517.0,279037.0,Saturday,NA,NA,NA,2011,January
Christ College ATM,2011-01-08,74.0,39.0,316000.0,172300.0,Saturday,NH,W,HWW,2011,January
KK Nagar ATM,2011-01-08,226.0,170.0,1064300.0,782100.0,Saturday,NH,W,HWW,2011,January
Airport ATM,2011-01-09,80.0,46.0,383300.0,274000.0,Sunday,H,H,HHW,2011,January
Big Street ATM,2011-01-09,35.0,16.0,124000.0,80900.0,Sunday,H,H,HHW,2011,January
Christ College ATM,2011-01-09,40.0,23.0,170600.0,86500.0,Sunday,H,H,HHW,2011,January
KK Nagar ATM,2011-01-09,187.0,106.0,821800.0,447700.0,Sunday,H,H,HHW,2011,January
Mount Road ATM,2011-01-09,114.0,25.0,315600.0,105100.0,Sunday,H,H,HHW,2011,January
Airport ATM,2011-01-10,143.0,107.0,721900.0,572800.0,Monday,NH,H,WHH,2011,January
Big Street ATM,2011-01-10,53.0,38.0,239500.0,192600.0,Monday,NH,H,WHH,2011,January
Christ College ATM,2011-01-10,100.0,34.0,376100.0,126300.0,Monday,NH,H,WHH,2011,January
KK Nagar ATM,2011-01-10,189.0,131.0,822800.0,525400.0,Monday,NH,H,WHH,2011,January
Mount Road ATM,2011-01-10,246.0,99.0,788500.0,411600.0,Monday,NH,H,WHH,2011,January
Airport ATM,2011-01-11,98.0,71.0,429900.0,327700.0,Tuesday,NH,W,WWW,2011,January
Big Street ATM,2011-01-11,38.0,19.0,183200.0,121800.0,Tuesday,NH,W,WWW,2011,January
Christ College ATM,2011-01-11,90.0,62.0,397000.0,278800.0,Tuesday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-11,171.0,122.0,861900.0,578600.0,Tuesday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-11,139.0,75.0,501800.0,324700.0,Tuesday,NH,W,WWW,2011,January
Airport ATM,2011-01-12,112.0,80.0,517900.0,398200.0,Wednesday,NH,W,WWW,2011,January
Big Street ATM,2011-01-12,28.0,16.0,122800.0,77500.0,Wednesday,NH,W,WWW,2011,January
Christ College ATM,2011-01-12,86.0,38.0,411900.0,193700.0,Wednesday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-12,230.0,160.0,1016100.0,719500.0,Wednesday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-12,137.0,72.0,560100.0,357800.0,Wednesday,NH,W,WWW,2011,January
Airport ATM,2011-01-13,103.0,81.0,411700.0,356500.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-13,22.0,12.0,81200.0,53600.0,Thursday,NH,W,WWW,2011,January
Christ College ATM,2011-01-13,143.0,52.0,510300.0,232700.0,Thursday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-13,223.0,179.0,771400.0,649500.0,Thursday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-13,184.0,93.0,506300.0,323100.0,Thursday,NH,W,WWW,2011,January
Airport ATM,2011-01-14,109.0,89.0,458500.0,424200.0,Friday,NH,W,WWH,2011,January
Big Street ATM,2011-01-14,25.0,16.0,91100.0,67800.0,Friday,NH,W,WWH,2011,January
Christ College ATM,2011-01-14,91.0,52.0,373000.0,241300.0,Friday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-14,238.0,176.0,876400.0,684200.0,Friday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-14,179.0,71.0,451400.0,250300.0,Friday,NH,W,WWH,2011,January
Airport ATM,2011-01-15,52.0,35.0,163300.0,139800.0,Saturday,H,H,WHH,2011,January
Big Street ATM,2011-01-15,24.0,16.0,115900.0,98700.0,Saturday,H,H,WHH,2011,January
Christ College ATM,2011-01-15,53.0,30.0,206800.0,133800.0,Saturday,H,H,WHH,2011,January
KK Nagar ATM,2011-01-15,119.0,96.0,321400.0,283100.0,Saturday,H,H,WHH,2011,January
Mount Road ATM,2011-01-15,97.0,24.0,200500.0,119500.0,Saturday,H,H,WHH,2011,January
Airport ATM,2011-01-16,42.0,33.0,154100.0,132800.0,Sunday,H,H,HHH,2011,January
Big Street ATM,2011-01-16,17.0,9.0,55100.0,29500.0,Sunday,H,H,HHH,2011,January
Christ College ATM,2011-01-16,36.0,15.0,95200.0,46100.0,Sunday,H,H,HHH,2011,January
KK Nagar ATM,2011-01-16,99.0,78.0,274100.0,240100.0,Sunday,H,H,HHH,2011,January
Mount Road ATM,2011-01-16,77.0,21.0,205300.0,64400.0,Sunday,H,H,HHH,2011,January
Airport ATM,2011-01-17,40.0,24.0,100000.0,79600.0,Monday,H,H,HHW,2011,January
Big Street ATM,2011-01-17,37.0,28.0,129800.0,113600.0,Monday,H,H,HHW,2011,January
Christ College ATM,2011-01-17,46.0,25.0,126800.0,69300.0,Monday,H,H,HHW,2011,January
KK Nagar ATM,2011-01-17,188.0,145.0,524800.0,438800.0,Monday,H,H,HHW,2011,January
Mount Road ATM,2011-01-17,72.0,34.0,221900.0,127100.0,Monday,H,H,HHW,2011,January
Airport ATM,2011-01-18,86.0,65.0,343100.0,273100.0,Tuesday,NH,W,HWW,2011,January
Big Street ATM,2011-01-18,29.0,13.0,163600.0,73400.0,Tuesday,NH,W,HWW,2011,January
Christ College ATM,2011-01-18,82.0,45.0,380000.0,216900.0,Tuesday,NH,W,HWW,2011,January
KK Nagar ATM,2011-01-18,225.0,159.0,831200.0,663600.0,Tuesday,NH,W,HWW,2011,January
Mount Road ATM,2011-01-18,123.0,82.0,405200.0,360600.0,Tuesday,NH,W,HWW,2011,January
Airport ATM,2011-01-19,106.0,86.0,428900.0,383600.0,Wednesday,NH,W,WWW,2011,January
Big Street ATM,2011-01-19,33.0,16.0,79500.0,40200.0,Wednesday,NH,W,WWW,2011,January
Christ College ATM,2011-01-19,124.0,39.0,446800.0,121100.0,Wednesday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-19,183.0,151.0,649200.0,583800.0,Wednesday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-19,152.0,69.0,537700.0,301300.0,Wednesday,NH,W,WWW,2011,January
Airport ATM,2011-01-20,89.0,69.0,298000.0,250200.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-20,25.0,10.0,81700.0,38700.0,Thursday,NH,W,WWW,2011,January
Christ College ATM,2011-01-20,140.0,45.0,571300.0,244000.0,Thursday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-20,120.0,97.0,445900.0,366900.0,Thursday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-20,163.0,88.0,565500.0,404300.0,Thursday,NH,W,WWW,2011,January
Airport ATM,2011-01-21,67.0,56.0,350000.0,312600.0,Friday,NH,W,WWH,2011,January
Big Street ATM,2011-01-21,21.0,17.0,86600.0,82700.0,Friday,NH,W,WWH,2011,January
Christ College ATM,2011-01-21,90.0,44.0,386800.0,235800.0,Friday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-21,193.0,146.0,581500.0,435000.0,Friday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-21,139.0,66.0,450400.0,245500.0,Friday,NH,W,WWH,2011,January
Airport ATM,2011-01-22,93.0,70.0,363600.0,316300.0,Saturday,NH,H,WHH,2011,January
Big Street ATM,2011-01-22,25.0,12.0,85400.0,50500.0,Saturday,NH,H,WHH,2011,January
Christ College ATM,2011-01-22,95.0,35.0,465300.0,240700.0,Saturday,NH,H,WHH,2011,January
KK Nagar ATM,2011-01-22,196.0,168.0,683300.0,638800.0,Saturday,NH,H,WHH,2011,January
Mount Road ATM,2011-01-22,151.0,79.0,455600.0,308200.0,Saturday,NH,H,WHH,2011,January
Airport ATM,2011-01-23,87.0,71.0,288500.0,257700.0,Sunday,NH,H,HHW,2011,January
Big Street ATM,2011-01-23,18.0,8.0,36800.0,7100.0,Sunday,NH,H,HHW,2011,January
Christ College ATM,2011-01-23,45.0,29.0,212500.0,174200.0,Sunday,NH,H,HHW,2011,January
KK Nagar ATM,2011-01-23,110.0,96.0,290000.0,253900.0,Sunday,NH,H,HHW,2011,January
Mount Road ATM,2011-01-23,134.0,71.0,352100.0,225200.0,Sunday,NH,H,HHW,2011,January
Airport ATM,2011-01-24,85.0,60.0,247800.0,202100.0,Monday,NH,W,HWW,2011,January
Big Street ATM,2011-01-24,26.0,21.0,103900.0,89300.0,Monday,NH,W,HWW,2011,January
Christ College ATM,2011-01-24,100.0,43.0,410800.0,208500.0,Monday,NH,W,HWW,2011,January
KK Nagar ATM,2011-01-24,207.0,155.0,800500.0,618400.0,Monday,NH,W,HWW,2011,January
Mount Road ATM,2011-01-24,153.0,71.0,498900.0,279000.0,Monday,NH,W,HWW,2011,January
Airport ATM,2011-01-25,83.0,65.0,363100.0,327500.0,Tuesday,NH,W,WHW,2011,January
Big Street ATM,2011-01-25,39.0,21.0,139900.0,61600.0,Tuesday,NH,W,WHW,2011,January
Christ College ATM,2011-01-25,89.0,47.0,325900.0,194000.0,Tuesday,NH,W,WHW,2011,January
KK Nagar ATM,2011-01-25,178.0,154.0,617000.0,553900.0,Tuesday,NH,W,WHW,2011,January
Mount Road ATM,2011-01-25,140.0,81.0,439300.0,281800.0,Tuesday,NH,W,WHW,2011,January
Airport ATM,2011-01-26,91.0,56.0,248200.0,199300.0,Wednesday,N,H,WHW,2011,January
Big Street ATM,2011-01-26,18.0,9.0,40500.0,22700.0,Wednesday,N,H,WHW,2011,January
Christ College ATM,2011-01-26,69.0,26.0,258400.0,101200.0,Wednesday,N,H,WHW,2011,January
KK Nagar ATM,2011-01-26,157.0,142.0,485900.0,452800.0,Wednesday,N,H,WHW,2011,January
Mount Road ATM,2011-01-26,134.0,46.0,255400.0,96100.0,Wednesday,N,H,WHW,2011,January
Airport ATM,2011-01-27,93.0,68.0,402100.0,290500.0,Thursday,NH,W,HWW,2011,January
Big Street ATM,2011-01-27,26.0,17.0,83300.0,70200.0,Thursday,NH,W,HWW,2011,January
Christ College ATM,2011-01-27,96.0,41.0,336300.0,227800.0,Thursday,NH,W,HWW,2011,January
KK Nagar ATM,2011-01-27,181.0,144.0,722900.0,580400.0,Thursday,NH,W,HWW,2011,January
Mount Road ATM,2011-01-27,147.0,67.0,461500.0,257900.0,Thursday,NH,W,HWW,2011,January
Airport ATM,2011-01-28,77.0,55.0,191800.0,156900.0,Friday,NH,W,WWH,2011,January
Big Street ATM,2011-01-28,22.0,15.0,71300.0,49000.0,Friday,NH,W,WWH,2011,January
Christ College ATM,2011-01-28,77.0,36.0,254500.0,169400.0,Friday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-28,193.0,166.0,874200.0,789700.0,Friday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-28,126.0,69.0,336300.0,224000.0,Friday,NH,W,WWH,2011,January
Airport ATM,2011-01-29,82.0,60.0,384600.0,348400.0,Saturday,NH,H,WHH,2011,January
Big Street ATM,2011-01-29,53.0,15.0,163500.0,47000.0,Saturday,NH,H,WHH,2011,January
Big Street ATM,2011-01-29,184.0,142.0,692070.0,546070.0,Saturday,NA,NA,NA,2011,January
Christ College ATM,2011-01-29,87.0,50.0,463400.0,319200.0,Saturday,NH,H,WHH,2011,January
Mount Road ATM,2011-01-29,124.0,59.0,428000.0,260700.0,Saturday,NH,H,WHH,2011,January
Airport ATM,2011-01-30,58.0,42.0,194400.0,173700.0,Sunday,NH,H,HHW,2011,January
Big Street ATM,2011-01-30,18.0,10.0,41100.0,25800.0,Sunday,NH,H,HHW,2011,January
Christ College ATM,2011-01-30,75.0,27.0,277200.0,127500.0,Sunday,NH,H,HHW,2011,January
KK Nagar ATM,2011-01-30,143.0,121.0,517100.0,467000.0,Sunday,NH,H,HHW,2011,January
Mount Road ATM,2011-01-30,137.0,53.0,296400.0,169900.0,Sunday,NH,H,HHW,2011,January
Airport ATM,2011-01-31,96.0,74.0,526000.0,436700.0,Monday,NH,W,HWW,2011,January
Big Street ATM,2011-01-31,23.0,13.0,70800.0,25100.0,Monday,NH,W,HWW,2011,January
Big Street ATM,2011-01-31,184.0,142.0,692070.0,546070.0,Monday,NA,NA,NA,2011,January
Christ College ATM,2011-01-31,91.0,39.0,369100.0,179000.0,Monday,NH,W,HWW,2011,January
Mount Road ATM,2011-01-31,142.0,82.0,515100.0,262800.0,Monday,NH,W,HWW,2011,January
Airport ATM,2011-02-01,67.0,53.0,268600.0,213300.0,Tuesday,NH,H,HHW,2011,February
Big Street ATM,2011-02-01,17.0,5.0,52800.0,20900.0,Tuesday,NH,H,HHW,2011,February
Christ College ATM,2011-02-01,80.0,24.0,300000.0,95600.0,Tuesday,NH,H,HHW,2011,February
KK Nagar ATM,2011-02-01,260.0,155.0,809400.0,456200.0,Tuesday,NH,H,HHW,2011,February
Mount Road ATM,2011-02-01,194.0,50.0,529300.0,171700.0,Tuesday,NH,H,HHW,2011,February
Airport ATM,2011-02-02,104.0,72.0,472000.0,345000.0,Wednesday,NH,W,WWW,2011,February
Big Street ATM,2011-02-02,19.0,13.0,79200.0,70500.0,Wednesday,NH,W,WWW,2011,February
Christ College ATM,2011-02-02,133.0,55.0,714600.0,329400.0,Wednesday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-02,271.0,196.0,1159900.0,833900.0,Wednesday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-02,164.0,93.0,714900.0,495000.0,Wednesday,NH,W,WWW,2011,February
Airport ATM,2011-02-03,116.0,94.0,616800.0,548900.0,Thursday,NH,W,WWW,2011,February
Big Street ATM,2011-02-03,37.0,15.0,143300.0,66700.0,Thursday,NH,W,WWW,2011,February
Christ College ATM,2011-02-03,118.0,41.0,638200.0,272200.0,Thursday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-03,243.0,197.0,1043200.0,858500.0,Thursday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-03,153.0,118.0,610800.0,506500.0,Thursday,NH,W,WWW,2011,February
Airport ATM,2011-02-04,126.0,102.0,555800.0,465500.0,Friday,NH,H,WHH,2011,February
Big Street ATM,2011-02-04,31.0,14.0,130500.0,91200.0,Friday,NH,H,WHH,2011,February
Christ College ATM,2011-02-04,71.0,33.0,285100.0,147000.0,Friday,NH,H,WHH,2011,February
KK Nagar ATM,2011-02-04,193.0,155.0,728200.0,552100.0,Friday,NH,H,WHH,2011,February
Mount Road ATM,2011-02-04,217.0,106.0,776400.0,499500.0,Friday,NH,H,WHH,2011,February
Airport ATM,2011-02-05,138.0,87.0,617800.0,447200.0,Saturday,NH,W,HWW,2011,February
Big Street ATM,2011-02-05,23.0,15.0,116500.0,80900.0,Saturday,NH,W,HWW,2011,February
Big Street ATM,2011-02-05,194.0,151.0,766670.0,597970.0,Saturday,NA,NA,NA,2011,February
Christ College ATM,2011-02-05,93.0,42.0,436200.0,228800.0,Saturday,NH,W,HWW,2011,February
Mount Road ATM,2011-02-05,96.0,55.0,361600.0,233800.0,Saturday,NH,W,HWW,2011,February
Airport ATM,2011-02-06,141.0,110.0,580200.0,449100.0,Sunday,NH,W,WWW,2011,February
Big Street ATM,2011-02-06,30.0,13.0,109600.0,56300.0,Sunday,NH,W,WWW,2011,February
Christ College ATM,2011-02-06,96.0,23.0,474600.0,152900.0,Sunday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-06,245.0,167.0,1152400.0,835900.0,Sunday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-06,246.0,91.0,717900.0,307000.0,Sunday,NH,W,WWW,2011,February
Airport ATM,2011-02-07,139.0,117.0,714200.0,640800.0,Monday,NH,H,WHH,2011,February
Big Street ATM,2011-02-07,36.0,18.0,68000.0,41500.0,Monday,NH,H,WHH,2011,February
Christ College ATM,2011-02-07,87.0,37.0,421600.0,211400.0,Monday,NH,H,WHH,2011,February
KK Nagar ATM,2011-02-07,196.0,149.0,896900.0,648600.0,Monday,NH,H,WHH,2011,February
Mount Road ATM,2011-02-07,197.0,105.0,856500.0,564000.0,Monday,NH,H,WHH,2011,February
Airport ATM,2011-02-08,121.0,98.0,671500.0,577200.0,Tuesday,NH,W,WWW,2011,February
Big Street ATM,2011-02-08,67.0,17.0,244000.0,67800.0,Tuesday,NH,W,WWW,2011,February
Christ College ATM,2011-02-08,88.0,40.0,359200.0,139700.0,Tuesday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-08,223.0,164.0,936300.0,710600.0,Tuesday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-08,221.0,102.0,673500.0,385100.0,Tuesday,NH,W,WWW,2011,February
Airport ATM,2011-02-09,129.0,81.0,600600.0,432600.0,Wednesday,NH,W,HWH,2011,February
Big Street ATM,2011-02-09,34.0,22.0,201600.0,155600.0,Wednesday,NH,W,HWH,2011,February
Christ College ATM,2011-02-09,71.0,50.0,280100.0,173300.0,Wednesday,NH,W,HWH,2011,February
KK Nagar ATM,2011-02-09,197.0,136.0,866800.0,560700.0,Wednesday,NH,W,HWH,2011,February
Mount Road ATM,2011-02-09,176.0,107.0,663600.0,493500.0,Wednesday,NH,W,HWH,2011,February
Airport ATM,2011-02-10,97.0,62.0,397700.0,293300.0,Thursday,N,H,HHW,2011,February
Big Street ATM,2011-02-10,43.0,18.0,149000.0,63500.0,Thursday,N,H,HHW,2011,February
Christ College ATM,2011-02-10,80.0,20.0,263000.0,81900.0,Thursday,N,H,HHW,2011,February
KK Nagar ATM,2011-02-10,133.0,94.0,470400.0,311000.0,Thursday,N,H,HHW,2011,February
Mount Road ATM,2011-02-10,215.0,40.0,759200.0,246700.0,Thursday,N,H,HHW,2011,February
Airport ATM,2011-02-11,100.0,76.0,475900.0,382900.0,Friday,NH,W,WWW,2011,February
Big Street ATM,2011-02-11,41.0,23.0,223200.0,167700.0,Friday,NH,W,WWW,2011,February
Christ College ATM,2011-02-11,97.0,39.0,417400.0,129900.0,Friday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-11,223.0,150.0,1120400.0,760300.0,Friday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-11,216.0,110.0,900000.0,492400.0,Friday,NH,W,WWW,2011,February
Airport ATM,2011-02-12,111.0,89.0,620200.0,514500.0,Saturday,NH,W,WWH,2011,February
Big Street ATM,2011-02-12,43.0,22.0,180900.0,110100.0,Saturday,NH,W,WWH,2011,February
Christ College ATM,2011-02-12,83.0,52.0,365500.0,236100.0,Saturday,NH,W,WWH,2011,February
KK Nagar ATM,2011-02-12,244.0,157.0,1159400.0,772800.0,Saturday,NH,W,WWH,2011,February
Mount Road ATM,2011-02-12,170.0,102.0,625900.0,457900.0,Saturday,NH,W,WWH,2011,February
Airport ATM,2011-02-13,91.0,63.0,288100.0,255000.0,Sunday,NH,H,HHW,2011,February
Big Street ATM,2011-02-13,28.0,16.0,74900.0,54300.0,Sunday,NH,H,HHW,2011,February
Christ College ATM,2011-02-13,40.0,19.0,119000.0,56500.0,Sunday,NH,H,HHW,2011,February
KK Nagar ATM,2011-02-13,137.0,108.0,370700.0,273200.0,Sunday,NH,H,HHW,2011,February
Mount Road ATM,2011-02-13,145.0,50.0,359400.0,227100.0,Sunday,NH,H,HHW,2011,February
Airport ATM,2011-02-14,86.0,69.0,365800.0,306700.0,Monday,NH,W,HWW,2011,February
Big Street ATM,2011-02-14,33.0,17.0,117000.0,84000.0,Monday,NH,W,HWW,2011,February
Christ College ATM,2011-02-14,38.0,17.0,173100.0,93500.0,Monday,NH,W,HWW,2011,February
KK Nagar ATM,2011-02-14,207.0,162.0,791300.0,614400.0,Monday,NH,W,HWW,2011,February
Mount Road ATM,2011-02-14,153.0,78.0,413100.0,270100.0,Monday,NH,W,HWW,2011,February
Airport ATM,2011-02-15,98.0,78.0,362000.0,323000.0,Tuesday,NH,W,WWH,2011,February
Big Street ATM,2011-02-15,34.0,17.0,123700.0,77300.0,Tuesday,NH,W,WWH,2011,February
Christ College ATM,2011-02-15,93.0,59.0,357700.0,247900.0,Tuesday,NH,W,WWH,2011,February
KK Nagar ATM,2011-02-15,208.0,167.0,890100.0,701100.0,Tuesday,NH,W,WWH,2011,February
Mount Road ATM,2011-02-15,154.0,97.0,499900.0,393200.0,Tuesday,NH,W,WWH,2011,February
Airport ATM,2011-02-16,65.0,51.0,277900.0,248200.0,Wednesday,M,H,WHW,2011,February
Big Street ATM,2011-02-16,14.0,6.0,23700.0,5600.0,Wednesday,M,H,WHW,2011,February
Christ College ATM,2011-02-16,55.0,22.0,147100.0,64000.0,Wednesday,M,H,WHW,2011,February
KK Nagar ATM,2011-02-16,162.0,125.0,482200.0,399700.0,Wednesday,M,H,WHW,2011,February
Mount Road ATM,2011-02-16,131.0,58.0,317300.0,188700.0,Wednesday,M,H,WHW,2011,February
Airport ATM,2011-02-17,77.0,62.0,292300.0,272200.0,Thursday,NH,W,HWW,2011,February
Big Street ATM,2011-02-17,26.0,15.0,99700.0,66500.0,Thursday,NH,W,HWW,2011,February
Christ College ATM,2011-02-17,77.0,26.0,292600.0,113700.0,Thursday,NH,W,HWW,2011,February
KK Nagar ATM,2011-02-17,230.0,203.0,998300.0,878600.0,Thursday,NH,W,HWW,2011,February
Mount Road ATM,2011-02-17,160.0,83.0,549900.0,312600.0,Thursday,NH,W,HWW,2011,February
Airport ATM,2011-02-18,64.0,52.0,242200.0,232300.0,Friday,NH,W,WWH,2011,February
Big Street ATM,2011-02-18,35.0,24.0,141800.0,126700.0,Friday,NH,W,WWH,2011,February
Christ College ATM,2011-02-18,66.0,24.0,200600.0,59800.0,Friday,NH,W,WWH,2011,February
KK Nagar ATM,2011-02-18,159.0,139.0,543000.0,495600.0,Friday,NH,W,WWH,2011,February
Mount Road ATM,2011-02-18,167.0,74.0,484200.0,263900.0,Friday,NH,W,WWH,2011,February
Airport ATM,2011-02-19,113.0,81.0,454200.0,357700.0,Saturday,NH,H,WHH,2011,February
Big Street ATM,2011-02-19,15.0,8.0,54300.0,43400.0,Saturday,NH,H,WHH,2011,February
Christ College ATM,2011-02-19,74.0,41.0,399800.0,225900.0,Saturday,NH,H,WHH,2011,February
KK Nagar ATM,2011-02-19,198.0,164.0,858300.0,756800.0,Saturday,NH,H,WHH,2011,February
Mount Road ATM,2011-02-19,185.0,78.0,441400.0,253600.0,Saturday,NH,H,WHH,2011,February
Airport ATM,2011-02-20,101.0,82.0,347800.0,313900.0,Sunday,NH,H,HHW,2011,February
Big Street ATM,2011-02-20,20.0,6.0,56000.0,13100.0,Sunday,NH,H,HHW,2011,February
Christ College ATM,2011-02-20,62.0,16.0,169400.0,61600.0,Sunday,NH,H,HHW,2011,February
KK Nagar ATM,2011-02-20,132.0,108.0,302100.0,222100.0,Sunday,NH,H,HHW,2011,February
Mount Road ATM,2011-02-20,165.0,40.0,407300.0,120000.0,Sunday,NH,H,HHW,2011,February
Airport ATM,2011-02-21,72.0,54.0,285600.0,222600.0,Monday,NH,W,HWW,2011,February
Big Street ATM,2011-02-21,23.0,12.0,64200.0,48200.0,Monday,NH,W,HWW,2011,February
Christ College ATM,2011-02-21,61.0,32.0,143200.0,103000.0,Monday,NH,W,HWW,2011,February
KK Nagar ATM,2011-02-21,176.0,147.0,659200.0,578000.0,Monday,NH,W,HWW,2011,February
Mount Road ATM,2011-02-21,158.0,52.0,456400.0,151700.0,Monday,NH,W,HWW,2011,February
Airport ATM,2011-02-22,81.0,67.0,350400.0,316700.0,Tuesday,NH,W,WWW,2011,February
Big Street ATM,2011-02-22,35.0,17.0,142500.0,93800.0,Tuesday,NH,W,WWW,2011,February
Christ College ATM,2011-02-22,100.0,47.0,370800.0,200200.0,Tuesday,NH,W,WWW,2011,February
KK Nagar ATM,2011-02-22,170.0,139.0,624300.0,537400.0,Tuesday,NH,W,WWW,2011,February
Mount Road ATM,2011-02-22,145.0,79.0,479200.0,352400.0,Tuesday,NH,W,WWW,2011,February
Airport ATM,2011-02-23,84.0,66.0,434100.0,352600.0,Wednesday,NH,W,WWW,2011,February
